session_id,target
1,0.00030828142
2,2.042314e-05
3,2.845495e-05
4,4.156576e-05
5,6.131699e-05
6,8.199921e-05
7,0.00025318618
8,0.00034750544
9,0.0009848439
10,0.0040908307
11,3.5945282e-05
12,0.00017203197
13,0.00010672888
14,0.4072026
15,0.00018129019
16,0.002583972
17,0.00040613543
18,0.00016478765
19,0.00061241136
20,2.0757972e-05
21,0.0005556511
22,0.0002797127
23,0.00015279601
24,0.0007000587
25,0.0006550189
26,3.7556805e-05
27,0.001355796
28,2.1428297e-05
29,0.0040609483
30,5.6846002e-05
31,0.009469945
32,0.028348716
33,0.00036548878
34,6.944208e-05
35,0.00093250145
36,8.044417e-05
37,3.2890985e-05
38,2.5013702e-05
39,5.6846002e-05
40,4.3832842e-05
41,0.0007858479
42,0.0022710392
43,5.4055814e-05
44,8.712446e-05
45,0.010104158
46,2.539813e-05
47,0.00025864562
48,0.0002935511
49,9.0449685e-05
50,6.2776264e-05
51,3.9858165e-05
52,6.570096e-05
53,0.00077070104
54,9.9391524e-05
55,0.00037327543
56,0.0020077983
57,4.371181e-05
58,0.00032668642
59,2.0453026e-05
60,3.5398694e-05
61,3.967486e-05
62,0.0017085029
63,3.4519333e-05
64,0.0003858835
65,2.0757963e-05
66,2.4078667e-05
67,0.00059950224
68,0.00013206004
69,0.0012606196
70,9.511861e-05
71,7.4399766e-05
72,2.0757963e-05
73,0.10371236
74,2.042314e-05
75,9.06175e-05
76,8.943508e-05
77,0.00058655476
78,0.0012439487
79,5.8289992e-05
80,0.00044909105
81,9.6519e-05
82,0.00024628022
83,3.083757e-05
84,0.002897422
85,6.246774e-05
86,2.0757992e-05
87,0.0004920864
88,6.4954074e-05
89,0.0005759829
90,0.0011555168
91,9.224259e-05
92,9.292489e-05
93,0.0022322836
94,0.00090772315
95,0.00040828684
96,2.027907e-05
97,0.00010773555
98,0.0006157836
99,4.254023e-05
100,5.2430754e-05
101,0.0033500772
102,0.001441778
103,0.00035776617
104,0.0014667597
105,3.336966e-05
106,0.0004195572
107,0.0016524419
108,9.659525e-05
109,0.00015081963
110,4.2788266e-05
111,0.00013983538
112,2.7730419e-05
113,0.0014753407
114,4.9427224e-05
115,0.00027229745
116,0.00034505216
117,0.0017606576
118,0.0003288518
119,0.00015220435
120,9.311494e-05
121,2.9908051e-05
122,5.6846002e-05
123,0.00013169058
124,5.7328474e-05
125,0.00043008375
126,2.0424477e-05
127,4.5484547e-05
128,0.0011958058
129,0.0006421289
130,0.0004722228
131,0.0004707004
132,3.4440953e-05
133,0.0008945997
134,4.22025e-05
135,0.00020187588
136,0.0005039344
137,0.00051389163
138,0.0006110101
